"","title","date","author","type","year","entexttrue","sentiment_index","sentiment_sentiment","sentiment_mixed","sentiment_negative","sentiment_neutral","sentiment_positive"
"1","Napi adatok: 234 beteggel több van kórházban, 39-en meghaltak","2021. november 02. – 09:19","Iván-Nagy Szilvia","covid","2021","en",0,"NEUTRAL",0.191862598061562,0.264365613460541,0.526166498661041,0.0176052488386631
"2","Járványadatok: 123-an haltak meg, és több mint 500-zal nõtt a kórházban ápolt betegek száma","2021. november 09. – 09:17","Iván-Nagy Szilvia","covid","2021","en",0,"NEUTRAL",0.000846567039843649,0.286627411842346,0.704414069652557,0.00811195932328701
"3","Járványadatok: 98-an haltak meg, és több mint 460-an szorulnak lélegeztetõgépre","2021. november 10. – 09:04","Barnóczki Brigitta","covid","2021","en",0,"NEUTRAL",0.0198620911687613,0.0675302371382713,0.902399301528931,0.0102083841338754
"4","185-en haltak meg, 12 165 fertõzöttet regisztráltak egy nap alatt","2021. november 25. – 09:00","Barnóczki Brigitta","covid","2021","en",0,"NEUTRAL",0.00471221189945936,0.262333005666733,0.703821063041687,0.0291337296366692
"5","Napi adatok: 11 289 új fertõzöttet regisztráltak, 135-en haltak meg","2021. november 19. – 09:04","Barnóczki Brigitta","covid","2021","en",0,"NEUTRAL",0.0149757415056229,0.402914434671402,0.573728978633881,0.00838085822761059
"6","Napi adatok: 10 767 új fertõzöttet regisztráltak, 131-en haltak meg","2021. november 18. – 09:06","Barnóczki Brigitta","covid","2021","en",0,"NEUTRAL",0.0050411163829267,0.403154224157333,0.574686408042908,0.0171182397753
"7","11 871 új fertõzöttet találtak egy nap alatt, meghalt 162 beteg","2021. november 26. – 09:02","Barnóczki Brigitta","covid","2021","en",0,"NEUTRAL",0.0133056025952101,0.212120890617371,0.745131731033325,0.0294418260455132
"8","176-an haltak meg, 12 637 fertõzöttet regisztráltak kedden","2021. november 24. – 08:59","Iván-Nagy Szilvia","covid","2021","en",0,"NEUTRAL",0.000858445186167955,0.136975541710854,0.850992202758789,0.0111738247796893
"9","Novak Djokovic 86. tenisztornáját nyerte","2021. november 07. – 18:33","Ághassi Attila","tenisz","2021","en",0,"NEUTRAL",7.33654742361978e-05,0.0546131879091263,0.87844842672348,0.066865012049675
"10","Politikust vádolt meg nemi erõszakkal a kínai teniszezõ, 17 napja nem tudni róla, Djokoviæ egységes fellépést sürget","2021. november 19. – 08:31","Ághassi Attila","tenisz","2021","en",0,"NEUTRAL",5.54870384803507e-05,0.0243272818624973,0.953393578529358,0.022223649546504
"11","Annyian halnak meg a szombathelyi kórházban, hogy a kórháznak külsõ telephelyre van szüksége","2020. november 24. – 11:34","Csatári Flóra Dóra","covid","2020","en",0,"NEUTRAL",4.46366138930898e-05,0.00310245645232499,0.959543466567993,0.0373095385730267
"12","Zacher Gábor szerint a koronavírusos betegek elképesztõ tempóban tudnak brutálisan rosszul lenni","2020. november 13. – 11:17","Iván-Nagy Szilvia","covid","2020","en",0,"NEUTRAL",0.0220491643995047,0.181233271956444,0.73955887556076,0.0571587085723877
"13","Határozatlan idõre bezár a kormányközeli luxusétterem","2020. november 20. – 14:55","Iván-Nagy Szilvia","covid","2020","en",0,"NEUTRAL",0.0294549874961376,0.0465964190661907,0.906050622463226,0.0178979262709618
"14","Kósa Lajos véletlenül kiszivárogtatta a napi adatokat az operatív törzs pénteki ülésérõl","2020. november 20. – 07:46","Iván-Nagy Szilvia","covid","2020","en",0,"NEUTRAL",0.000417951378040016,0.0422254949808121,0.756464779376984,0.200891762971878
"15","Meghalt koronavírusban a ceglédi mentõállomás egyik mentõtisztje","2020. november 20. – 09:04","Iván-Nagy Szilvia","covid","2020","en",0,"NEGATIVE",0.0119116939604282,0.735770225524902,0.238475427031517,0.0138426283374429
"16","107 ember halt meg egy nap alatt a járványban Magyarországon","2020. november 15. – 09:34","Nyilas Gergely","covid","2020","en",0,"NEUTRAL",0.000512775266543031,0.397166579961777,0.598185241222382,0.00413542287424207
"17","470 ezernél is több amerikai halhat bele a koronavírusba márciusig","2020. november 20. – 11:31","Iván-Nagy Szilvia","covid","2020","en",0,"NEUTRAL",0.000122187964734621,0.186792030930519,0.793371498584747,0.0197142735123634
